"""Site name""","URL","Teams","Channel sites","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing","Segments","CorrectedUrl"
"BBBI-1259-EUA","https://orielstat.sharepoint.com/sites/bbbi-1259-eua","FALSE","","0.63","","","Team site","7/25/2021 17:00","5/21/2021 10:33","BBBI-1259-EUA Owners","25600","0","TRUE","0","0","0","66","","On","",
"BEMI-0545-510(K)","https://orielstat.sharepoint.com/sites/bemi-0545-510k","FALSE","","0.02","","","Team site","1/29/2020 16:00","9/11/2019 11:02","Deborah Hatcher","25600","0","TRUE","0","0","0","44","","On","","https://validanto365.sharepoint.com/sites/OSAM-bemi-0545-510k"
"BIOH-0929-CEMARK","https://orielstat.sharepoint.com/sites/bioh-0929-cemark","FALSE","","0.13","","","Team site","4/13/2021 17:00","8/28/2020 6:31","Deborah Hatcher","25600","0","TRUE","0","0","0","111","","On","",
"BIOH-1164-AXSESS-MDR","https://orielstat.sharepoint.com/sites/bioh-1164-axsess-mdr","FALSE","","0.1","","","Team site","5/16/2021 17:00","3/26/2021 6:41","BIOH-1164-AXSESS-MDR Owners","25600","0","TRUE","0","0","0","70","","On","",
"BIOL-1546-EU-MDR-TRANSITION","https://orielstat.sharepoint.com/sites/biol-1546-eu-mdr-transition","FALSE","","0.23","","","Team site","1/17/2022 16:00","12/1/2021 5:37","BIOL-1546-EU-MDR-TRANSITION Owners","25600","0","TRUE","89","1","1","291","","On","",
"BIOR-1215-AUDIT-MDSAP","https://orielstat.sharepoint.com/sites/bior-1215-audit-mdsap","FALSE","","1.51","","","Team site","2/6/2022 16:00","3/31/2021 13:56","BIOR-1215-AUDIT-MDSAP Owners","25600","0","TRUE","139","17","2","2797","","On","",
"BIOS-1265-BASE-IVDR","https://orielstat.sharepoint.com/sites/bios-1265-base-ivdr","FALSE","","0.53","","","Team site","1/25/2022 16:00","5/6/2021 12:48","BIOS-1265-BASE-IVDR Owners","25600","0","TRUE","4","4","1","115","","On","",
"BMS Management","https://orielstat.sharepoint.com/sites/BMSManagement","FALSE","","0","","","Team site","","1/7/2022 10:23","BMS Management Owners","25600","0","TRUE","0","0","0","0","","On","","https://validanto365.sharepoint.com/sites/OSAM-BMSManagement"
"Bobby's Working Documents","https://orielstat.sharepoint.com/sites/BobbysWorkingDocuments","FALSE","","0","","","Team site","2/20/2020 16:00","6/6/2018 6:56","Bobby McVay","25600","0","TRUE","0","0","0","3","","On","","https://validanto365.sharepoint.com/sites/OSAM-BobbysWorkingDocuments"
"BOST-1424-STAFFAUG-RA-QA","https://orielstat.sharepoint.com/sites/bost-1424-staffaug-ra-qa","FALSE","","0.06","","","Team site","12/20/2021 16:00","11/19/2021 6:14","BOST-1424-STAFFAUG-RA-QA Owners","25600","0","TRUE","0","0","0","36","","On","",
"BOST-1602-SOFTWARE_CON","https://orielstat.sharepoint.com/sites/bost-1602-software_con","FALSE","","0.01","","","Team site","2/6/2022 16:00","1/31/2022 12:21","BOST-1602-SOFTWARE_CON Owners","25600","0","TRUE","3","3","3","17","","On","",
"BSCI Superheroes","https://orielstat.sharepoint.com/sites/BSCISuperheroes","FALSE","","0.47","","","Team site","12/20/2021 16:00","12/8/2021 21:23","BSCI Superheroes Owners","25600","0","TRUE","0","0","0","8","","On","","https://validanto365.sharepoint.com/sites/OSAM-BSCISuperheroes"
"CAPA","https://orielstat.sharepoint.com/sites/CAPA","TRUE","","0","","","Team site","2/6/2022 16:00","10/7/2021 14:43","CAPA Owners","25600","0","TRUE","4","0","0","13","","On","",
"CAPT-1087-AUDIT-QSR","https://orielstat.sharepoint.com/sites/capt-1087-audit-qsr","FALSE","","0.71","","","Team site","2/5/2022 16:00","1/22/2021 9:54","CAPT-1087-AUDIT-QSR Owners","25600","0","TRUE","8","2","2","232","","On","",
"CAPT-1568-AUDIT-QSR","https://orielstat.sharepoint.com/sites/capt-1568-audit-qsr","FALSE","","0.02","","","Team site","2/5/2022 16:00","12/17/2021 11:29","CAPT-1568-AUDIT-QSR Owners","25600","0","TRUE","8","2","1","51","","On","",
"Catalog","https://orielstat.sharepoint.com/sites/Catalog","TRUE","","0","","","Team site","","7/20/2021 7:08","Catalog Owners","25600","0","TRUE","0","0","0","2","","On","",
"CERNER-CON-MOCK-MDSAP-JAN2018-0103","https://orielstat.sharepoint.com/sites/cerner-con-mock-mdsap-jan2018-0103","FALSE","","0","","","Team site","6/7/2020 17:00","1/26/2018 12:19","Cisco Medina","25600","0","TRUE","0","0","0","5","","On","",
"Charter Medical EU MDR Project","https://orielstat.sharepoint.com/sites/CharterMedicalEUMDRProject","TRUE","","0","","","Team site","1/18/2021 16:00","4/21/2020 10:18","Charter Medical EU MDR Project Owners","25600","0","TRUE","0","0","0","1","","On","","https://validanto365.sharepoint.com/sites/OSAM-CharterMedicalEUMDRProject"
"Chemence Medical Scoping","https://orielstat.sharepoint.com/sites/chemencemedicalscoping","FALSE","","0","","","Team site","2/6/2022 16:00","7/10/2020 10:55","Deborah Hatcher","25600","0","TRUE","0","1","1","3","","On","","https://validanto365.sharepoint.com/sites/OSAM-chemencemedicalscoping"
"CHUR-1019-CEMARK","https://orielstat.sharepoint.com/sites/chur-1019-cemark","FALSE","","0.24","","","Team site","2/1/2022 16:00","10/16/2020 6:18","Deborah Hatcher","25600","0","TRUE","1","0","0","94","","On","",
"CHUR-1300-DOC-REM","https://orielstat.sharepoint.com/sites/chur-1300-doc-rem","FALSE","","0.01","","","Team site","2/1/2022 16:00","5/10/2021 13:30","CHUR-1300-DOC-REM Owners","25600","0","TRUE","1","0","0","20","","On","",
"CHUR-1357-DOC-REM","https://orielstat.sharepoint.com/sites/chur-1357-doc-rem","FALSE","","0.16","","","Team site","2/1/2022 16:00","6/18/2021 11:29","CHUR-1357-DOC-REM Owners","25600","0","TRUE","51","1","1","75","","On","",
"CHUR-1358-DOC-REM","https://orielstat.sharepoint.com/sites/chur-1358-doc-rem","FALSE","","0.01","","","Team site","2/3/2022 16:00","7/23/2021 6:41","CHUR-1358-DOC-REM Owners","25600","0","TRUE","5","5","2","13","","On","",
"CHUR-1530-QMS-HARMONIZATION","https://orielstat.sharepoint.com/sites/chur-1530-qms-harmonization","FALSE","","0.01","","","Team site","2/1/2022 16:00","11/3/2021 6:11","CHUR-1530-QMS-HARMONIZATION Owners","25600","0","TRUE","9","4","1","13","","On","",
"CHUR-1612-REGSTRAT-EU+US","https://orielstat.sharepoint.com/sites/chur-1612-regstrat-euus","FALSE","","0","","","Team site","2/3/2022 16:00","2/2/2022 7:50","CHUR-1612-REGSTRAT-EU+US Owners","25600","0","TRUE","2","3","1","8","","On","","https://validanto365.sharepoint.com/sites/OSAM-chur-1612-regstrat-euus"
"COLL-1402-AUDIT-MDSAP","https://orielstat.sharepoint.com/sites/coll-1402-audit-mdsap","FALSE","","1.08","","","Team site","1/25/2022 16:00","7/20/2021 8:08","COLL-1402-AUDIT-MDSAP Owners","25600","0","TRUE","1","1","1","480","","On","",
"Communications Team Chat","https://orielstat.sharepoint.com/sites/CommunicationsTeamChat","TRUE","","0","","","Team site","11/11/2021 16:00","6/11/2021 13:04","Communications Team Chat Owners","25600","0","TRUE","0","0","0","4","","On","","https://validanto365.sharepoint.com/sites/OSAM-CommunicationsTeamChat"
"CON-510(K)-OPTO-0047","https://orielstat.sharepoint.com/sites/con-510k-opto-0047","FALSE","","0","","","Team site","6/24/2020 17:00","9/13/2017 7:04","CON-510(K)-OPTO-0047","25600","0","TRUE","0","0","0","6","","On","","https://validanto365.sharepoint.com/sites/OSAM-con-510k-opto-0047"
"CON-510(K)-SNOO-0022","https://orielstat.sharepoint.com/sites/con-510k-snoo-0022","FALSE","","0","","","Team site","2/20/2020 16:00","8/29/2017 8:25","CON-510(K)-SNOO-0022","25600","0","TRUE","0","0","0","6","","On","","https://validanto365.sharepoint.com/sites/OSAM-con-510k-snoo-0022"
"CON-ASSESS13458-SPAC-0007","https://orielstat.sharepoint.com/sites/con-assess13458-spac-0007","FALSE","","0.13","","","Team site","4/27/2019 17:00","9/13/2017 10:27","CON-ASSESS13458-SPAC-0007","25600","0","TRUE","0","0","0","150","","On","",
"CON-AUDIT-13485/QSR-PHYS-0011","https://orielstat.sharepoint.com/sites/con-audit-13485qsr-phys-0011","FALSE","","0","","","Team site","4/27/2019 17:00","8/30/2017 11:50","CON-AUDIT-13485/QSR-PHYS-0011","25600","0","TRUE","0","0","0","7","","On","","https://validanto365.sharepoint.com/sites/OSAM-con-audit-13485qsr-phys-0011"
"CON-AUDIT-QSR-PHYS-0048","https://orielstat.sharepoint.com/sites/con-audit-qsr-phys-0048","FALSE","","0","","","Team site","6/27/2018 17:00","8/31/2017 12:41","CON-AUDIT-QSR-PHYS-0048","25600","0","TRUE","0","0","0","4","","On","",
"CON-BASELINE-13458/QSR-JENX-0043","https://orielstat.sharepoint.com/sites/con-baseline-13458qsr-jenx-0043","FALSE","","0","","","Team site","2/5/2022 16:00","10/2/2017 15:04","CON-BASELINE-13458/QSR-JENX-0043","25600","0","TRUE","0","1","1","4","","On","","https://validanto365.sharepoint.com/sites/OSAM-con-baseline-13458qsr-jenx-0043"
"CON-DMAIC-OCTA-0031","https://orielstat.sharepoint.com/sites/octaq02-2017dmaicconsulting","FALSE","","0","","","Team site","7/29/2019 17:00","8/16/2017 11:20","Cisco Medina","25600","0","TRUE","0","0","0","4","","On","","https://validanto365.sharepoint.com/sites/OSAM-octaq02-2017dmaicconsulting"
"CON-FDA483-ADBI-0015","https://orielstat.sharepoint.com/sites/adb","FALSE","","0","","","Team site","7/16/2018 17:00","8/17/2017 5:18","Cisco Medina","25600","0","TRUE","0","0","0","5","","On","","https://validanto365.sharepoint.com/sites/OSAM-adb"
"CON-RA/QACONSULT-12SI-0013","https://orielstat.sharepoint.com/sites/con-raqaconsult-12si-0013","FALSE","","0","","","Team site","6/27/2018 17:00","9/13/2017 5:57","CON-RA/QACONSULT-12SI-0013","25600","0","TRUE","0","0","0","3","","On","","https://validanto365.sharepoint.com/sites/OSAM-con-raqaconsult-12si-0013"
"CON-RA/QACONSULT-CIVC-0075","https://orielstat.sharepoint.com/sites/con-raqaconsult-civc-0075","FALSE","","0","","","Team site","4/26/2020 17:00","10/16/2017 14:05","CON-RA/QACONSULT-CIVC-0075","25600","0","TRUE","0","0","0","11","","On","","https://validanto365.sharepoint.com/sites/OSAM-con-raqaconsult-civc-0075"
"CON-RA/QACONSULT-PHYS-0010","https://orielstat.sharepoint.com/sites/con-raqaconsult-phys-0010","FALSE","","0","","","Team site","6/27/2018 17:00","8/30/2017 11:27","CON-RA/QACONSULT-PHYS-0010","25600","0","TRUE","0","0","0","3","","On","","https://validanto365.sharepoint.com/sites/OSAM-con-raqaconsult-phys-0010"
"CON-RA/QACONSULT-TISS-0005","https://orielstat.sharepoint.com/sites/con-raqaconsult-tiss-0005","FALSE","","0","","","Team site","6/27/2018 17:00","8/30/2017 11:11","CON-RA/QACONSULT-TISS-0005","25600","0","TRUE","0","0","0","4","","On","","https://validanto365.sharepoint.com/sites/OSAM-con-raqaconsult-tiss-0005"
"CON-STRAT-GLOBAL-ADBI-0029","https://orielstat.sharepoint.com/sites/con-strat-global-adbi-0029","FALSE","","0","","","Team site","6/26/2018 17:00","8/23/2017 13:56","CON-STRAT-GLOBAL-ADBI-0029","25600","0","TRUE","0","0","0","3","","On","",
"Consulting Project Management","https://orielstat.sharepoint.com/sites/ConsultingProjectManagement","FALSE","","0.04","","","Team site","5/21/2020 17:00","9/11/2018 6:45","Bobby McVay","25600","0","TRUE","0","0","0","37","","On","","https://validanto365.sharepoint.com/sites/OSAM-ConsultingProjectManagement"
"CON-SUPPLIERAUDIT-CORN-0083","https://orielstat.sharepoint.com/sites/con-supplieraudit-corn-0083","FALSE","","0.02","","","Team site","4/28/2019 17:00","10/16/2017 13:46","CON-SUPPLIERAUDIT-CORN-0083","25600","0","TRUE","0","0","0","35","","On","",
"ConvaTec-Green Belt Projects-Deeside","https://orielstat.sharepoint.com/sites/convatec-greenbeltprojects-deeside","FALSE","","0","","","Team site","10/19/2020 17:00","4/27/2018 9:20","Wendy Kinal","25600","0","TRUE","0","0","0","3","","On","","https://validanto365.sharepoint.com/sites/OSAM-convatec-greenbeltprojects-deeside"
"ConvaTec-Green Belt Projects-Haina","https://orielstat.sharepoint.com/sites/convatec-greenbeltprojects-haina","FALSE","","0","","","Team site","10/19/2020 17:00","7/5/2018 14:11","Wendy Kinal","25600","0","TRUE","0","0","0","2","","On","","https://validanto365.sharepoint.com/sites/OSAM-convatec-greenbeltprojects-haina"
"ConvaTec-Green Belt Projects-North Carolina","https://orielstat.sharepoint.com/sites/convatec-greenbeltprojects-northcarolina","FALSE","","0","","","Team site","10/19/2020 17:00","4/27/2018 9:11","Wendy Kinal","25600","0","TRUE","0","0","0","3","","On","","https://validanto365.sharepoint.com/sites/OSAM-convatec-greenbeltprojects-northcarolina"
"COOK-0869-AXSESS-MDR","https://orielstat.sharepoint.com/sites/cook-0869-axsess-mdr","FALSE","","0.13","","","Team site","1/25/2022 16:00","7/16/2020 13:00","Deborah Hatcher","25600","0","TRUE","1","1","1","147","","On","",
"COOP-0591-EU-MDR-TRANSITION","https://orielstat.sharepoint.com/sites/coop-0591-eu-mdr-transition","FALSE","","0","","","Team site","10/19/2020 17:00","9/4/2019 13:56","Deborah Hatcher","25600","0","TRUE","0","0","0","8","","On","",
"COOP-0607-STAFFAUG-RA-QA","https://orielstat.sharepoint.com/sites/coop-0607-staffaug-ra-qa","FALSE","","0","","","Team site","1/20/2022 16:00","9/24/2019 6:49","Deborah Hatcher","25600","0","TRUE","1","1","1","7","","On","",
"COOP-0945-PRODUCT SUBMISSIONS: JPN","https://orielstat.sharepoint.com/sites/coop-0945-productsubmissionsjpn","FALSE","","1.46","","","Team site","1/30/2022 16:00","8/18/2020 11:37","Deborah Hatcher","25600","0","TRUE","5","7","2","1288","","On","","https://validanto365.sharepoint.com/sites/OSAM-coop-0945-productsubmissionsjpn"
"COOP-1047-SOFTWARE_CON","https://orielstat.sharepoint.com/sites/coop-1047-software_con","FALSE","","0.01","","","Team site","1/24/2022 16:00","11/23/2020 9:33","Deborah Hatcher","25600","0","TRUE","6","7","2","65","","On","",
"COOP-1133-NPSW-VALIDATION","https://orielstat.sharepoint.com/sites/coop-1133-npsw-validation","FALSE","","0.01","","","Team site","","1/29/2021 5:56","COOP-1133-NPSW-VALIDATION Owners","25600","0","TRUE","0","0","0","6","","On","",
"COOP-1176-AXSESS-MDR","https://orielstat.sharepoint.com/sites/coop-1176-axsess-mdr","FALSE","","0","","","Team site","1/25/2022 16:00","3/5/2021 12:33","COOP-1176-AXSESS-MDR Owners","25600","0","TRUE","1","1","1","10","","On","",
"COOP-1181-EU-MDR-TRANSITION","https://orielstat.sharepoint.com/sites/coop-1181-eu-mdr-transition","FALSE","","0.01","","","Team site","1/25/2022 16:00","3/16/2021 5:48","COOP-1181-EU-MDR-TRANSITION Owners","25600","0","TRUE","1","1","1","10","","On","",
"COOP-1193-STAFFAUG-RA-QA","https://orielstat.sharepoint.com/sites/coop-1193-staffaug-ra-qa","FALSE","","0.01","","","Team site","2/6/2022 16:00","3/10/2021 8:11","COOP-1193-STAFFAUG-RA-QA Owners","25600","0","TRUE","0","1","1","8","","On","",
"Cooper Surgical 2021","https://orielstat.sharepoint.com/sites/coopersurgical2021","FALSE","","95.02","","","Team site","2/6/2022 16:00","4/8/2021 8:18","Cooper Surgical 2021 Owners","25600","0","TRUE","735","353","7","13820","","On","","https://validanto365.sharepoint.com/sites/OSAM-coopersurgical2021"
"Cooper Surgical Hold File","https://orielstat.sharepoint.com/sites/coopersurgicalholdfile","FALSE","","0","","","Team site","","1/9/2020 17:44","Jack Moore","25600","0","TRUE","0","0","0","0","","On","","https://validanto365.sharepoint.com/sites/OSAM-coopersurgicalholdfile"
"Cooper Surgical Product Remediation COOP-0645-CEMARK","https://orielstat.sharepoint.com/sites/coopersurgicalproductremediationcoop-0645-cemark","FALSE","","63.41","","","Team site","2/6/2022 16:00","12/4/2019 7:46","Deborah Hatcher","25600","0","TRUE","27","28","5","18280","","On","","https://validanto365.sharepoint.com/sites/OSAM-coopersurgicalproductremediationcoop-0645-cemark"
"CooperSurgical","https://orielstat.sharepoint.com/sites/coopersurgical","FALSE","","6.59","","","Team site","10/19/2020 17:00","2/4/2019 10:20","Pavan Sundrani","25600","0","TRUE","0","0","0","1096","","On","",
"CooperSurgical-QMS","https://orielstat.sharepoint.com/sites/coopersurgical-qms","FALSE","","108.75","","","Team site","2/5/2022 16:00","5/15/2019 10:33","Pavan Sundrani","25600","0","TRUE","12","27","4","30543","","On","",
"COVID-19 TEAM 1 (VIRTUAL TRAINING)","https://orielstat.sharepoint.com/sites/COVID-19TEAM1VIRTUALTRAINING","TRUE","","0","","","Team site","2/6/2022 16:00","3/21/2020 6:13","Kate Leith","25600","0","TRUE","1","0","0","3","","On","","https://validanto365.sharepoint.com/sites/OSAM-COVID-19TEAM1VIRTUALTRAINING"
"CRES-1210-QMS-ISO9","https://orielstat.sharepoint.com/sites/cres-1210-qms-iso9","FALSE","","0.01","","","Team site","2/1/2022 16:00","1/13/2022 13:12","CRES-1210-QMS-ISO9 Owners","25600","0","TRUE","2","6","3","13","","On","",
"CRM Internal Project","https://orielstat.sharepoint.com/sites/crminternalproject","FALSE","","0.06","","","Team site","1/29/2022 16:00","8/18/2021 10:22","CRM Internal Project Owners","25600","0","TRUE","1","0","0","24","","On","","https://validanto365.sharepoint.com/sites/OSAM-crminternalproject"
"CRS Course Development","https://orielstat.sharepoint.com/sites/crscoursedevelopment","FALSE","","0.37","","","Team site","9/7/2021 17:00","3/19/2020 12:10","Deborah Hatcher","25600","0","TRUE","0","0","0","47","","On","","https://validanto365.sharepoint.com/sites/OSAM-crscoursedevelopment"
"Current Projects","https://orielstat.sharepoint.com/sites/CurrentProjects","FALSE","","0","","","Team site","","1/27/2022 8:13","Current Projects Owners","25600","0","TRUE","0","0","0","0","","On","","https://validanto365.sharepoint.com/sites/OSAM-CurrentProjects"
