"NewName","SiteUrl","StorageQuota","SiteOwner","SiteTemplate","GroupName"
"BAYE-1549-INT- HYB","https://validanto365.sharepoint.com/sites/OSAM-baye-1549-int-hyb","500","Jhuson@validant.com","sts#3","OSAM-baye-1549-int-hyb"
"BAYE-1553-INTERNAL-62304","https://validanto365.sharepoint.com/sites/OSAM-baye-1553-internal-62304","500","Jhuson@validant.com","sts#3","OSAM-baye-1553-internal-62304"
"BAYE-CON-AXSESS-MDR-MARCH2019-0383","https://validanto365.sharepoint.com/sites/OSAM-baye-con-axsess-mdr-march2019-0383","500","Jhuson@validant.com","sts#3","OSAM-baye-con-axsess-mdr-march2019-0383"
"BBBI-1259-EUA","https://validanto365.sharepoint.com/sites/OSAM-bbbi-1259-eua","500","Jhuson@validant.com","sts#3","OSAM-bbbi-1259-eua"
"BEMI-0545-510(K)","https://validanto365.sharepoint.com/sites/OSAM-bemi-0545-510k","500","Jhuson@validant.com","sts#3","OSAM-bemi-0545-510k"
"BIOH-0929-CEMARK","https://validanto365.sharepoint.com/sites/OSAM-bioh-0929-cemark","500","Jhuson@validant.com","sts#3","OSAM-bioh-0929-cemark"
"BIOH-1164-AXSESS-MDR","https://validanto365.sharepoint.com/sites/OSAM-bioh-1164-axsess-mdr","500","Jhuson@validant.com","sts#3","OSAM-bioh-1164-axsess-mdr"
"BIOL-1546-EU-MDR-TRANSITION","https://validanto365.sharepoint.com/sites/OSAM-biol-1546-eu-mdr-transition","500","Jhuson@validant.com","sts#3","OSAM-biol-1546-eu-mdr-transition"
"BIOR-1215-AUDIT-MDSAP","https://validanto365.sharepoint.com/sites/OSAM-bior-1215-audit-mdsap","500","Jhuson@validant.com","sts#3","OSAM-bior-1215-audit-mdsap"
"BIOS-1265-BASE-IVDR","https://validanto365.sharepoint.com/sites/OSAM-bios-1265-base-ivdr","500","Jhuson@validant.com","sts#3","OSAM-bios-1265-base-ivdr"
"BMS Management","https://validanto365.sharepoint.com/sites/OSAM-BMSManagement","500","Jhuson@validant.com","sts#3","OSAM-BMSManagement"
"Bobby's Working Documents","https://validanto365.sharepoint.com/sites/OSAM-BobbysWorkingDocuments","500","Jhuson@validant.com","sts#3","OSAM-BobbysWorkingDocuments"
"BOST-1424-STAFFAUG-RA-QA","https://validanto365.sharepoint.com/sites/OSAM-bost-1424-staffaug-ra-qa","500","Jhuson@validant.com","sts#3","OSAM-bost-1424-staffaug-ra-qa"
"BOST-1602-SOFTWARE_CON","https://validanto365.sharepoint.com/sites/OSAM-bost-1602-software_con","500","Jhuson@validant.com","sts#3","OSAM-bost-1602-software_con"
"BSCI Superheroes","https://validanto365.sharepoint.com/sites/OSAM-BSCISuperheroes","500","Jhuson@validant.com","sts#3","OSAM-BSCISuperheroes"
"CAPA","https://validanto365.sharepoint.com/sites/OSAM-CAPA","500","Jhuson@validant.com","sts#3","OSAM-CAPA"
"CAPT-1087-AUDIT-QSR","https://validanto365.sharepoint.com/sites/OSAM-capt-1087-audit-qsr","500","Jhuson@validant.com","sts#3","OSAM-capt-1087-audit-qsr"
"CAPT-1568-AUDIT-QSR","https://validanto365.sharepoint.com/sites/OSAM-capt-1568-audit-qsr","500","Jhuson@validant.com","sts#3","OSAM-capt-1568-audit-qsr"
"Catalog","https://validanto365.sharepoint.com/sites/OSAM-Catalog","500","Jhuson@validant.com","sts#3","OSAM-Catalog"
"CERNER-CON-MOCK-MDSAP-JAN2018-0103","https://validanto365.sharepoint.com/sites/OSAM-cerner-con-mock-mdsap-jan2018-0103","500","Jhuson@validant.com","sts#3","OSAM-cerner-con-mock-mdsap-jan2018-0103"
"Charter Medical EU MDR Project","https://validanto365.sharepoint.com/sites/OSAM-CharterMedicalEUMDRProject","500","Jhuson@validant.com","sts#3","OSAM-CharterMedicalEUMDRProject"
"Chemence Medical Scoping","https://validanto365.sharepoint.com/sites/OSAM-chemencemedicalscoping","500","Jhuson@validant.com","sts#3","OSAM-chemencemedicalscoping"
"CHUR-1019-CEMARK","https://validanto365.sharepoint.com/sites/OSAM-chur-1019-cemark","500","Jhuson@validant.com","sts#3","OSAM-chur-1019-cemark"
"CHUR-1300-DOC-REM","https://validanto365.sharepoint.com/sites/OSAM-chur-1300-doc-rem","500","Jhuson@validant.com","sts#3","OSAM-chur-1300-doc-rem"
"CHUR-1357-DOC-REM","https://validanto365.sharepoint.com/sites/OSAM-chur-1357-doc-rem","500","Jhuson@validant.com","sts#3","OSAM-chur-1357-doc-rem"
"CHUR-1358-DOC-REM","https://validanto365.sharepoint.com/sites/OSAM-chur-1358-doc-rem","500","Jhuson@validant.com","sts#3","OSAM-chur-1358-doc-rem"
"CHUR-1530-QMS-HARMONIZATION","https://validanto365.sharepoint.com/sites/OSAM-chur-1530-qms-harmonization","500","Jhuson@validant.com","sts#3","OSAM-chur-1530-qms-harmonization"
"CHUR-1612-REGSTRAT-EU+US","https://validanto365.sharepoint.com/sites/OSAM-chur-1612-regstrat-euus","500","Jhuson@validant.com","sts#3","OSAM-chur-1612-regstrat-euus"
"COLL-1402-AUDIT-MDSAP","https://validanto365.sharepoint.com/sites/OSAM-coll-1402-audit-mdsap","500","Jhuson@validant.com","sts#3","OSAM-coll-1402-audit-mdsap"
"Communications Team Chat","https://validanto365.sharepoint.com/sites/OSAM-CommunicationsTeamChat","500","Jhuson@validant.com","sts#3","OSAM-CommunicationsTeamChat"
"CON-510(K)-OPTO-0047","https://validanto365.sharepoint.com/sites/OSAM-con-510k-opto-0047","500","Jhuson@validant.com","sts#3","OSAM-con-510k-opto-0047"
"CON-510(K)-SNOO-0022","https://validanto365.sharepoint.com/sites/OSAM-con-510k-snoo-0022","500","Jhuson@validant.com","sts#3","OSAM-con-510k-snoo-0022"
"CON-ASSESS13458-SPAC-0007","https://validanto365.sharepoint.com/sites/OSAM-con-assess13458-spac-0007","500","Jhuson@validant.com","sts#3","OSAM-con-assess13458-spac-0007"
"CON-AUDIT-13485/QSR-PHYS-0011","https://validanto365.sharepoint.com/sites/OSAM-con-audit-13485qsr-phys-0011","500","Jhuson@validant.com","sts#3","OSAM-con-audit-13485qsr-phys-0011"
"CON-AUDIT-QSR-PHYS-0048","https://validanto365.sharepoint.com/sites/OSAM-con-audit-qsr-phys-0048","500","Jhuson@validant.com","sts#3","OSAM-con-audit-qsr-phys-0048"
"CON-BASELINE-13458/QSR-JENX-0043","https://validanto365.sharepoint.com/sites/OSAM-con-baseline-13458qsr-jenx-0043","500","Jhuson@validant.com","sts#3","OSAM-con-baseline-13458qsr-jenx-0043"
"CON-DMAIC-OCTA-0031","https://validanto365.sharepoint.com/sites/OSAM-octaq02-2017dmaicconsulting","500","Jhuson@validant.com","sts#3","OSAM-octaq02-2017dmaicconsulting"
"CON-FDA483-ADBI-0015","https://validanto365.sharepoint.com/sites/OSAM-adb","500","Jhuson@validant.com","sts#3","OSAM-adb"
"CON-RA/QACONSULT-12SI-0013","https://validanto365.sharepoint.com/sites/OSAM-con-raqaconsult-12si-0013","500","Jhuson@validant.com","sts#3","OSAM-con-raqaconsult-12si-0013"
"CON-RA/QACONSULT-CIVC-0075","https://validanto365.sharepoint.com/sites/OSAM-con-raqaconsult-civc-0075","500","Jhuson@validant.com","sts#3","OSAM-con-raqaconsult-civc-0075"
"CON-RA/QACONSULT-PHYS-0010","https://validanto365.sharepoint.com/sites/OSAM-con-raqaconsult-phys-0010","500","Jhuson@validant.com","sts#3","OSAM-con-raqaconsult-phys-0010"
"CON-RA/QACONSULT-TISS-0005","https://validanto365.sharepoint.com/sites/OSAM-con-raqaconsult-tiss-0005","500","Jhuson@validant.com","sts#3","OSAM-con-raqaconsult-tiss-0005"
"CON-STRAT-GLOBAL-ADBI-0029","https://validanto365.sharepoint.com/sites/OSAM-con-strat-global-adbi-0029","500","Jhuson@validant.com","sts#3","OSAM-con-strat-global-adbi-0029"
"Consulting Project Management","https://validanto365.sharepoint.com/sites/OSAM-ConsultingProjectManagement","500","Jhuson@validant.com","sts#3","OSAM-ConsultingProjectManagement"
"CON-SUPPLIERAUDIT-CORN-0083","https://validanto365.sharepoint.com/sites/OSAM-con-supplieraudit-corn-0083","500","Jhuson@validant.com","sts#3","OSAM-con-supplieraudit-corn-0083"
"ConvaTec-Green Belt Projects-Deeside","https://validanto365.sharepoint.com/sites/OSAM-convatec-greenbeltprojects-deeside","500","Jhuson@validant.com","sts#3","OSAM-convatec-greenbeltprojects-deeside"
"ConvaTec-Green Belt Projects-Haina","https://validanto365.sharepoint.com/sites/OSAM-convatec-greenbeltprojects-haina","500","Jhuson@validant.com","sts#3","OSAM-convatec-greenbeltprojects-haina"
"ConvaTec-Green Belt Projects-North Carolina","https://validanto365.sharepoint.com/sites/OSAM-convatec-greenbeltprojects-northcarolina","500","Jhuson@validant.com","sts#3","OSAM-convatec-greenbeltprojects-northcarolina"
"COOK-0869-AXSESS-MDR","https://validanto365.sharepoint.com/sites/OSAM-cook-0869-axsess-mdr","500","Jhuson@validant.com","sts#3","OSAM-cook-0869-axsess-mdr"
"COOP-0591-EU-MDR-TRANSITION","https://validanto365.sharepoint.com/sites/OSAM-coop-0591-eu-mdr-transition","500","Jhuson@validant.com","sts#3","OSAM-coop-0591-eu-mdr-transition"
"COOP-0607-STAFFAUG-RA-QA","https://validanto365.sharepoint.com/sites/OSAM-coop-0607-staffaug-ra-qa","500","Jhuson@validant.com","sts#3","OSAM-coop-0607-staffaug-ra-qa"
"COOP-0945-PRODUCT SUBMISSIONS: JPN","https://validanto365.sharepoint.com/sites/OSAM-coop-0945-productsubmissionsjpn","500","Jhuson@validant.com","sts#3","OSAM-coop-0945-productsubmissionsjpn"
"COOP-1047-SOFTWARE_CON","https://validanto365.sharepoint.com/sites/OSAM-coop-1047-software_con","500","Jhuson@validant.com","sts#3","OSAM-coop-1047-software_con"
"COOP-1133-NPSW-VALIDATION","https://validanto365.sharepoint.com/sites/OSAM-coop-1133-npsw-validation","500","Jhuson@validant.com","sts#3","OSAM-coop-1133-npsw-validation"
"COOP-1176-AXSESS-MDR","https://validanto365.sharepoint.com/sites/OSAM-coop-1176-axsess-mdr","500","Jhuson@validant.com","sts#3","OSAM-coop-1176-axsess-mdr"
"COOP-1181-EU-MDR-TRANSITION","https://validanto365.sharepoint.com/sites/OSAM-coop-1181-eu-mdr-transition","500","Jhuson@validant.com","sts#3","OSAM-coop-1181-eu-mdr-transition"
"COOP-1193-STAFFAUG-RA-QA","https://validanto365.sharepoint.com/sites/OSAM-coop-1193-staffaug-ra-qa","500","Jhuson@validant.com","sts#3","OSAM-coop-1193-staffaug-ra-qa"
"Cooper Surgical 2021","https://validanto365.sharepoint.com/sites/OSAM-coopersurgical2021","500","Jhuson@validant.com","sts#3","OSAM-coopersurgical2021"
"Cooper Surgical Hold File","https://validanto365.sharepoint.com/sites/OSAM-coopersurgicalholdfile","500","Jhuson@validant.com","sts#3","OSAM-coopersurgicalholdfile"
"Cooper Surgical Product Remediation COOP-0645-CEMARK","https://validanto365.sharepoint.com/sites/OSAM-coopersurgicalproductremediationcoop-0645-cemark","500","Jhuson@validant.com","sts#3","OSAM-coopersurgicalproductremediationcoop-0645-cemark"
"CooperSurgical","https://validanto365.sharepoint.com/sites/OSAM-coopersurgical","500","Jhuson@validant.com","sts#3","OSAM-coopersurgical"
"CooperSurgical-QMS","https://validanto365.sharepoint.com/sites/OSAM-coopersurgical-qms","500","Jhuson@validant.com","sts#3","OSAM-coopersurgical-qms"
"COVID-19 TEAM 1 (VIRTUAL TRAINING)","https://validanto365.sharepoint.com/sites/OSAM-COVID-19TEAM1VIRTUALTRAINING","500","Jhuson@validant.com","sts#3","OSAM-COVID-19TEAM1VIRTUALTRAINING"
"CRES-1210-QMS-ISO9","https://validanto365.sharepoint.com/sites/OSAM-cres-1210-qms-iso9","500","Jhuson@validant.com","sts#3","OSAM-cres-1210-qms-iso9"
"CRM Internal Project","https://validanto365.sharepoint.com/sites/OSAM-crminternalproject","500","Jhuson@validant.com","sts#3","OSAM-crminternalproject"
"CRS Course Development","https://validanto365.sharepoint.com/sites/OSAM-crscoursedevelopment","500","Jhuson@validant.com","sts#3","OSAM-crscoursedevelopment"
"Current Projects","https://validanto365.sharepoint.com/sites/OSAM-CurrentProjects","500","Jhuson@validant.com","sts#3","OSAM-CurrentProjects"
"Custom Courses","https://validanto365.sharepoint.com/sites/OSAM-CustomCourses","500","Jhuson@validant.com","sts#3","OSAM-CustomCourses"
"DEandI","https://validanto365.sharepoint.com/sites/OSAM-deandi","500","Jhuson@validant.com","sts#3","OSAM-deandi"
"DEEP-0965-BASELINE-13485","https://validanto365.sharepoint.com/sites/OSAM-deep-0965-baseline-13485","500","Jhuson@validant.com","sts#3","OSAM-deep-0965-baseline-13485"
"DEnI","https://validanto365.sharepoint.com/sites/OSAM-DEnI","500","Jhuson@validant.com","sts#3","OSAM-DEnI"
"Draeger Medical -MOCK-MDSAP-APR2018-0108","https://validanto365.sharepoint.com/sites/OSAM-draegermedical-mock-mdsap-apr2018-0108","500","Jhuson@validant.com","sts#3","OSAM-draegermedical-mock-mdsap-apr2018-0108"
"DUKA-1505-EU-MDR-TRANSITION","https://validanto365.sharepoint.com/sites/OSAM-duka-1505-eu-mdr-transition","500","Jhuson@validant.com","sts#3","OSAM-duka-1505-eu-mdr-transition"
"ECLI-0950-STAFFAUG-RA-QA","https://validanto365.sharepoint.com/sites/OSAM-ecli-0950-staffaug-ra-qa","500","Jhuson@validant.com","sts#3","OSAM-ecli-0950-staffaug-ra-qa"
"eCW pre-engagement info","https://validanto365.sharepoint.com/sites/OSAM-eCWpre-engagementinfo","500","Jhuson@validant.com","sts#3","OSAM-eCWpre-engagementinfo"
"EITA-1276-AXSESS-MDR","https://validanto365.sharepoint.com/sites/OSAM-eita-1276-axsess-mdr","500","Jhuson@validant.com","sts#3","OSAM-eita-1276-axsess-mdr"
"eLearning Team","https://validanto365.sharepoint.com/sites/OSAM-eLearningTeam","500","Jhuson@validant.com","sts#3","OSAM-eLearningTeam"
"ELEV-0777-BASELINE-13485","https://validanto365.sharepoint.com/sites/OSAM-elev-0777-baseline-13485","500","Jhuson@validant.com","sts#3","OSAM-elev-0777-baseline-13485"
"ELEV-0777-BASELINE-13485-NEW","https://validanto365.sharepoint.com/sites/OSAM-elev-0777-baseline-13485-new","500","Jhuson@validant.com","sts#3","OSAM-elev-0777-baseline-13485-new"
"EMF update","https://validanto365.sharepoint.com/sites/OSAM-EMFupdate","500","Jhuson@validant.com","sts#3","OSAM-EMFupdate"
"EMF-VILT EU MDR Implementation Training","https://validanto365.sharepoint.com/sites/OSAM-EMF-VILTEUMDRImplementationTraining","500","Jhuson@validant.com","sts#3","OSAM-EMF-VILTEUMDRImplementationTraining"
"ERCH-0493-AXSESS-MDR","https://validanto365.sharepoint.com/sites/OSAM-erch-0493-axsess-mdr","500","Jhuson@validant.com","sts#3","OSAM-erch-0493-axsess-mdr"
"ERCH-0578-BASE-MDR","https://validanto365.sharepoint.com/sites/OSAM-erch-0578-base-mdr","500","Jhuson@validant.com","sts#3","OSAM-erch-0578-base-mdr"
"ETHI-0681-AXSESS-MDR","https://validanto365.sharepoint.com/sites/OSAM-ethi-0681-axsess-mdr","500","Jhuson@validant.com","sts#3","OSAM-ethi-0681-axsess-mdr"
"ETHI-1393-INTERNAL-MDR","https://validanto365.sharepoint.com/sites/OSAM-ethi-1393-internal-mdr","500","Jhuson@validant.com","sts#3","OSAM-ethi-1393-internal-mdr"
"EU MDR Auditor Qualification","https://validanto365.sharepoint.com/sites/OSAM-eumdrauditorqualification","500","Jhuson@validant.com","sts#3","OSAM-eumdrauditorqualification"
"EU MDR Modules","https://validanto365.sharepoint.com/sites/OSAM-EUMDRModules","500","Jhuson@validant.com","sts#3","OSAM-EUMDRModules"
"EYEQ-1381-QMS-13485-QSR","https://validanto365.sharepoint.com/sites/OSAM-eyeq-1381-qms-13485-qsr","500","Jhuson@validant.com","sts#3","OSAM-eyeq-1381-qms-13485-qsr"
"FACI-0817-EUA","https://validanto365.sharepoint.com/sites/OSAM-faci-0817-eua","500","Jhuson@validant.com","sts#3","OSAM-faci-0817-eua"
"Feedback","https://validanto365.sharepoint.com/sites/OSAM-Feedback","500","Jhuson@validant.com","sts#3","OSAM-Feedback"
"Flowmet-AUDIT-13485-9001-APR2018-0193","https://validanto365.sharepoint.com/sites/OSAM-flowmet-audit-13485-9001-apr2018-0193","500","Jhuson@validant.com","sts#3","OSAM-flowmet-audit-13485-9001-apr2018-0193"
"FUJIREBIO-MOCK-MDSAP-JAN2018-0119","https://validanto365.sharepoint.com/sites/OSAM-fuji-mock-mdsap-jan2018-0119","500","Jhuson@validant.com","sts#3","OSAM-fuji-mock-mdsap-jan2018-0119"
"Gasco Team","https://validanto365.sharepoint.com/sites/OSAM-gascoteam","500","Jhuson@validant.com","sts#3","OSAM-gascoteam"
"GB Minitab Update","https://validanto365.sharepoint.com/sites/OSAM-GBMinitabUpdate","500","Jhuson@validant.com","sts#3","OSAM-GBMinitabUpdate"
"GENE-0466-510(K)","https://validanto365.sharepoint.com/sites/OSAM-gene-0466-510k","500","Jhuson@validant.com","sts#3","OSAM-gene-0466-510k"
"GENE-1340-MOCK-MDSAP","https://validanto365.sharepoint.com/sites/OSAM-gene-1340-mock-mdsap","500","Jhuson@validant.com","sts#3","OSAM-gene-1340-mock-mdsap"
"Genomic Health","https://validanto365.sharepoint.com/sites/OSAM-genomichealth","500","Jhuson@validant.com","sts#3","OSAM-genomichealth"
"Getinge-PMA-VILT-Session","https://validanto365.sharepoint.com/sites/OSAM-getinge-pma-vilt-session","500","Jhuson@validant.com","sts#3","OSAM-getinge-pma-vilt-session"
"GLOB-0935-US REG STRAT","https://validanto365.sharepoint.com/sites/OSAM-glob-0935-usregstrat","500","Jhuson@validant.com","sts#3","OSAM-glob-0935-usregstrat"
"GLWM-1298-FDAMOCKAUDIT","https://validanto365.sharepoint.com/sites/OSAM-glwm-1298-fdamockaudit","500","Jhuson@validant.com","sts#3","OSAM-glwm-1298-fdamockaudit"
"GRAI-1555-PREASS-IVDR","https://validanto365.sharepoint.com/sites/OSAM-grai-1555-preass-ivdr","500","Jhuson@validant.com","sts#3","OSAM-grai-1555-preass-ivdr"
"Green Belt Files for Newell Brands License 2021","https://validanto365.sharepoint.com/sites/OSAM-NewellBrandsGBLicense2021","500","Jhuson@validant.com","sts#3","OSAM-NewellBrandsGBLicense2021"
"GSKC-0686-BASELINE-MDSAP","https://validanto365.sharepoint.com/sites/OSAM-gskc-0686-baseline-mdsap","500","Jhuson@validant.com","sts#3","OSAM-gskc-0686-baseline-mdsap"
"HENG-1542-REGSTRAT-EU+US","https://validanto365.sharepoint.com/sites/OSAM-heng-1542-regstrat-euus","500","Jhuson@validant.com","sts#3","OSAM-heng-1542-regstrat-euus"
"HRT-CON-REG-STRAT-Aug 2018-0259 & QSR-Oct-0281","https://validanto365.sharepoint.com/sites/OSAM-hrt-con-reg-strat-global-aug2018-0259","500","Jhuson@validant.com","sts#3","OSAM-hrt-con-reg-strat-global-aug2018-0259"
"IDET-1392-US REG STRAT","https://validanto365.sharepoint.com/sites/OSAM-idet-1392-usregstrat","500","Jhuson@validant.com","sts#3","OSAM-idet-1392-usregstrat"
"IMAG-0964-FDAMOCKAUDIT","https://validanto365.sharepoint.com/sites/OSAM-imag-0964-fdamockaudit","500","Jhuson@validant.com","sts#3","OSAM-imag-0964-fdamockaudit"
"INFL-1056-QMS-QSR","https://validanto365.sharepoint.com/sites/OSAM-infl-1056-qms-qsr","500","Jhuson@validant.com","sts#3","OSAM-infl-1056-qms-qsr"
"INFU-0738-BASE-MDR","https://validanto365.sharepoint.com/sites/OSAM-infu-0738-base-mdr","500","Jhuson@validant.com","sts#3","OSAM-infu-0738-base-mdr"
"INNA-1307-US REG STRAT","https://validanto365.sharepoint.com/sites/OSAM-inna-1307-usregstrat","500","Jhuson@validant.com","sts#3","OSAM-inna-1307-usregstrat"
"Inputs","https://validanto365.sharepoint.com/sites/OSAM-Inputs","500","Jhuson@validant.com","sts#3","OSAM-Inputs"
"Inputs to Training Materials","https://validanto365.sharepoint.com/sites/OSAM-InputstoTrainingMaterials","500","Jhuson@validant.com","sts#3","OSAM-InputstoTrainingMaterials"
"INST-1150-REGSTRAT-EU+US","https://validanto365.sharepoint.com/sites/OSAM-inst-1150-regstrat-euus","500","Jhuson@validant.com","sts#3","OSAM-inst-1150-regstrat-euus"
"INST-1292-US REG STRAT","https://validanto365.sharepoint.com/sites/OSAM-inst-1292-usregstrat","500","Jhuson@validant.com","sts#3","OSAM-inst-1292-usregstrat"
"Instructor Training Materials","https://validanto365.sharepoint.com/sites/OSAM-Instructor_Files","500","Jhuson@validant.com","sts#3","OSAM-Instructor_Files"
"INTE-0728-INT- HYB","https://validanto365.sharepoint.com/sites/OSAM-inte-0728-int-hyb","500","Jhuson@validant.com","sts#3","OSAM-inte-0728-int-hyb"
"Internal Audit","https://validanto365.sharepoint.com/sites/OSAM-InternalAudit","500","Jhuson@validant.com","sts#3","OSAM-InternalAudit"
"INTERNAL TRAINING","https://validanto365.sharepoint.com/sites/OSAM-internaltraining","500","Jhuson@validant.com","sts#3","OSAM-internaltraining"
"INTU-1203-AUDIT-14000","https://validanto365.sharepoint.com/sites/OSAM-intu-1203-audit-14000","500","Jhuson@validant.com","sts#3","OSAM-intu-1203-audit-14000"
"INVI-1268-IVDR-CON","https://validanto365.sharepoint.com/sites/OSAM-invi-1268-ivdr-con","500","Jhuson@validant.com","sts#3","OSAM-invi-1268-ivdr-con"
"IOPI-0987-AUDIT-13485/QSR","https://validanto365.sharepoint.com/sites/OSAM-iopi-0987-audit-13485qsr","500","Jhuson@validant.com","sts#3","OSAM-iopi-0987-audit-13485qsr"
"IOPI-1464-AUDIT-13485/QSR","https://validanto365.sharepoint.com/sites/OSAM-iopi-1464-audit-13485qsr","500","Jhuson@validant.com","sts#3","OSAM-iopi-1464-audit-13485qsr"
"IOQ Crew","https://validanto365.sharepoint.com/sites/OSAM-IOQCrew","500","Jhuson@validant.com","sts#3","OSAM-IOQCrew"
"IRHY-1061-MOCK-MDSAP","https://validanto365.sharepoint.com/sites/OSAM-irhy-1061-mock-mdsap","500","Jhuson@validant.com","sts#3","OSAM-irhy-1061-mock-mdsap"
